id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
239008,2017,1,2017,2017,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,3,"""Reuters News,2017-01-30,Ukraine says more soldiers killed in deadliest clashes in weeks"";""Agence France Presse,2017-01-30,Six killed in surge of Ukraine fighting"";""Agence France Presse,2017-01-30,Deadly fighting surges in Ukraine despite truce""",Reuters News;Agence France Presse;Agence France Presse,2017-01-30;2017-01-30;2017-01-30,Ukraine says more soldiers killed in deadliest clashes in weeks;Six killed in surge of Ukraine fighting;Deadly fighting surges in Ukraine despite truce,Military source,1,Avdiivka town,Donetsk Oblast,Avdiivka City Municipality,48.145278,37.745,POINT (37.745000 48.145278),199156,Ukraine,369,UKR,Europe,1,1,2017-01-30,2017-01-30,2,2,0,1,5,5,5
155052,2014,1,2014,2014,1,13246,Ukraine: Donetsk,14124,Government of Ukraine - DPR,61,369.0,Government of Ukraine,5840,,DPR,1,"""Xinhua News Agency,2014-08-15,Death toll rises as fighting intensifies in E. Ukraine""",Xinhua News Agency,2014-08-15,Death toll rises as fighting intensifies in E. Ukraine,Ukrainian National Security and Defense Council,1,Donetsk town,Donetsk Oblast,Donetsk City Municipality,48.0,37.805278,POINT (37.805278 48.000000),199156,Ukraine,369,UKR,Europe,1,2,2014-08-14,2014-08-15,2,0,0,0,1,2,2
155412,2014,1,2014,2014,1,13306,Ukraine: Novorossiya,14210,Government of Ukraine - United Armed Forces of Novorossiya,61,369.0,Government of Ukraine,5914,,United Armed Forces of Novorossiya,1,"""Xinhua News Agency,2014-10-30,9 dead in eastern Ukraine confrontation in last 24 hours""",Xinhua News Agency,2014-10-30,9 dead in eastern Ukraine confrontation in last 24 hours,municipal authorities in Donetsk,1,Donetsk town,Donetsk Oblast,Donetsk City Municipality,48.0,37.805278,POINT (37.805278 48.000000),199156,Ukraine,369,UKR,Europe,1,1,2014-10-30,2014-10-30,0,0,1,0,1,1,1
204791,2015,1,2015,2015,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""Agence France Presse,2015-06-13,Six Ukraine soldiers killed in separatist east: Kiev""",Agence France Presse,2015-06-13,Six Ukraine soldiers killed in separatist east: Kiev,Chief military spokesman (Ukraine) Andriy Lysenko,2,Donetsk town,Donetsk Oblast,Donetsk City Municipality,48.0,37.805278,POINT (37.805278 48.000000),199156,Ukraine,369,UKR,Europe,1,2,2015-06-12,2015-06-13,6,0,0,0,6,6,6
246810,2017,1,2017,2017,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""International Crisis Group,2017-09-01,CrisisWatch August 2017 - Ukraine""",International Crisis Group,2017-09-01,CrisisWatch August 2017 - Ukraine,"ICG, LiveMap",4,Donetsk Oblast,Donetsk Oblast,,48.14,37.74,POINT (37.740000 48.140000),199156,Ukraine,369,UKR,Europe,1,2,2017-07-29,2017-07-30,1,0,0,0,1,1,1
246705,2017,1,2017,2017,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""World Service Wire,2017-10-27,Civilian killed in DPR in shelling by Ukrainian troops - JCCC""",World Service Wire,2017-10-27,Civilian killed in DPR in shelling by Ukrainian troops - JCCC,DPR’s representative to the Joint Center for Control and Coordination (JCCC),1,Trudivske village,Donetsk Oblast,Volnovakha Raion,47.588242,37.656933,POINT (37.656933 47.588242),198436,Ukraine,369,UKR,Europe,1,1,2017-10-27,2017-10-27,0,0,1,0,1,1,1
248949,2017,1,2017,2017,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,3,"""Agence France Presse,2017-12-09,Four Ukraine soldiers killed in rebel east"";""Agence France Presse,2017-12-09,Fighting kills five in Ukraine's separatist east"";""World Service Wire,2017-12-09,Donetsk militiaman killed in shelling by Ukrainian troops""",Agence France Presse;Agence France Presse;World Service Wire,2017-12-09;2017-12-09;2017-12-09,Four Ukraine soldiers killed in rebel east;Fighting kills five in Ukraine's separatist east;Donetsk militiaman killed in shelling by Ukrainian troops,"Ukraine military, DPR military spokesman Eduard Basurin",2,Donetsk town,Donetsk Oblast,Donetsk City Municipality,48.0,37.805278,POINT (37.805278 48.000000),199156,Ukraine,369,UKR,Europe,1,2,2017-12-07,2017-12-09,4,1,0,0,5,5,5
258293,2018,1,2018,2018,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""Office of the United Nations High Commissioner for Human Rights,2018-06-20,Report on the human rights situation in Ukraine 16 February to 15 May 2018""",Office of the United Nations High Commissioner for Human Rights,2018-06-20,Report on the human rights situation in Ukraine 16 February to 15 May 2018,OHCHR,4,Donetsk Oblast,Donetsk Oblast,,48.14,37.74,POINT (37.740000 48.140000),199156,Ukraine,369,UKR,Europe,2,5,2018-02-16,2018-05-15,0,0,2,0,2,2,2
275275,2018,1,2018,2018,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""Joint Forces Operation,2018-10-28,-""",Joint Forces Operation,2018-10-28,-,JFO ,5,Donets Basin Area,,,48.15,38.65,POINT (38.650000 48.150000),199158,Ukraine,369,UKR,Europe,1,1,2018-10-27,2018-10-27,1,0,0,0,0,1,1
275285,2018,1,2018,2018,1,13306,Ukraine: Novorossiya,15100,Government of Ukraine - DPR,61,369.0,Government of Ukraine,6711,,DPR,1,"""Joint Forces Operation,2018-12-14,-""",Joint Forces Operation,2018-12-14,-,JFO ,5,Donets Basin Area,,,48.15,38.65,POINT (38.650000 48.150000),199158,Ukraine,369,UKR,Europe,1,1,2018-12-13,2018-12-13,1,0,0,0,0,1,1
