date;node;edge;user_node;user_edge;node_descrip;node_user_descrip;node_size;url
Thu Jan 07 15:30:38 +0000 2016;685121370913521664;('685121370913521664', '685120621085245442');954061321;('954061321', '477678240');"RT @CestMoiz: Syria is the Middle East’s Stalingrad https://t.co/fHS4flE5FO via @grtvnews
A VERY interesting piece";Monsieur_agam;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Thu Jan 07 15:27:39 +0000 2016;685120621085245442;;477678240;;"Syria is the Middle East’s Stalingrad https://t.co/fHS4flE5FO via @grtvnews
A VERY interesting piece";CestMoiz;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Mon Jan 04 07:43:53 +0000 2016;683916747758501889;('683916747758501889', '683899800203476992');1733912292;('1733912292', '2385887136');RT @MeaganMacha: Syria is the Middle East’s Stalingrad https://t.co/Ha2XHvpJOL via @grtvnews;vamshark;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Mon Jan 04 06:36:33 +0000 2016;683899800203476992;;2385887136;;Syria is the Middle East’s Stalingrad https://t.co/Ha2XHvpJOL via @grtvnews;MeaganMacha;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sun Jan 03 00:56:23 +0000 2016;683451805636923392;('683451805636923392', '683441097385873408');1319013114;('1319013114', '1454728183');RT @Amor_y_Rabia: Siria, el Stalingrado de Oriente Medio https://t.co/Pj2ZocJpz0 https://t.co/i2l8DcHEGj;lucia_morena7;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sun Jan 03 00:13:49 +0000 2016;683441097385873408;;1454728183;;Siria, el Stalingrado de Oriente Medio https://t.co/Pj2ZocJpz0 https://t.co/i2l8DcHEGj;Amor_y_Rabia;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sun Jan 03 00:25:16 +0000 2016;683443975756316672;('683443975756316672', '683441097385873408');2179234380;('2179234380', '1454728183');RT @Amor_y_Rabia: Siria, el Stalingrado de Oriente Medio https://t.co/Pj2ZocJpz0 https://t.co/i2l8DcHEGj;vagabund112;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sun Jan 03 00:24:51 +0000 2016;683443872412876800;('683443872412876800', '683441097385873408');4218861628;('4218861628', '1454728183');RT @Amor_y_Rabia: Siria, el Stalingrado de Oriente Medio https://t.co/Pj2ZocJpz0 https://t.co/i2l8DcHEGj;NastyaWebb;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sun Jan 03 00:17:58 +0000 2016;683442140538638336;('683442140538638336', '683441097385873408');72107212;('72107212', '1454728183');RT @Amor_y_Rabia: Siria, el Stalingrado de Oriente Medio https://t.co/Pj2ZocJpz0 https://t.co/i2l8DcHEGj;Erickgeopolitic;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sat Jan 02 14:07:25 +0000 2016;683288488440016897;('683288488440016897', '683287144794738690');908395921;('908395921', '284840167');RT @AmericanSyrians: Syria is the Middle East's Stalingrad - Center for Research on Globalization https://t.co/Rc7EOefWat #Syria;yazi7777;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
Sat Jan 02 14:02:04 +0000 2016;683287144794738690;;284840167;;Syria is the Middle East's Stalingrad - Center for Research on Globalization https://t.co/Rc7EOefWat #Syria;AmericanSyrians;;http://www.globalresearch.ca/syria-is-the-middle-easts-stalingrad/5498872
